cut,color,avg(price)
Very Good,D,2393.5789473684213
Premium,E,2682.741176470588
Ideal,D,2731.695652173913
Good,F,2657.266666666667
Premium,D,2699.1428571428573
Ideal,J,1455.7142857142858
Ideal,I,1727.9761904761904
Very Good,I,2142.785714285714
Good,D,2142.8571428571427
Fair,D,2863.6666666666665
Good,G,2594.5
Good,H,1765.7272727272727
Premium,J,2311.6153846153848
Fair,F,2824.8333333333335
Ideal,G,2544.8070175438597
Very Good,H,2205.1612903225805
Very Good,E,2380.653846153846
Good,I,1878.4
Premium,F,2696.225352112676
Fair,J,2830
Premium,I,1898.4
Very Good,J,1588.7
Fair,G,2822
Good,J,1734.6666666666667
Premium,G,2576.157894736842
Very Good,F,2526.0545454545454
Ideal,F,2799.5753424657532
Ideal,E,2621.194029850746
Good,E,2217.3703703703704
Fair,H,2837.3571428571427
Ideal,H,2440.243902439024
Fair,I,2856.1111111111113
Fair,E,2544.5555555555557
Premium,H,2175.714285714286
Very Good,G,2562.730769230769

