avg(price),_c0,carat,cut,color,clarity,depth,table,price,x,y,z
2544.5555555555557,1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
2217.3703703703704,1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
2621.194029850746,1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
2380.653846153846,1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
2682.741176470588,1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
2544.5555555555557,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2217.3703703703704,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2621.194029850746,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2380.653846153846,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2682.741176470588,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
2544.5555555555557,3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
2217.3703703703704,3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
2621.194029850746,3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
2380.653846153846,3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
2682.741176470588,3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
2856.1111111111113,4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
1898.4,4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
1878.4,4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
2142.785714285714,4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
1727.9761904761904,4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
1734.6666666666667,5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
1588.7,5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
2830.0,5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
2311.6153846153848,5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
1455.7142857142858,5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
1734.6666666666667,6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
1588.7,6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
2830.0,6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
2311.6153846153848,6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
1455.7142857142858,6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
2856.1111111111113,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
1898.4,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
1878.4,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
2142.785714285714,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
1727.9761904761904,7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
2175.714285714286,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
2440.243902439024,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
2837.3571428571427,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
2205.1612903225805,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
1765.7272727272727,8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
2544.5555555555557,9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
2217.3703703703704,9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
2621.194029850746,9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
2380.653846153846,9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
2682.741176470588,9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
2175.714285714286,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
2440.243902439024,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
2837.3571428571427,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
2205.1612903225805,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
1765.7272727272727,10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
1734.6666666666667,11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
1588.7,11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
2830.0,11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
2311.6153846153848,11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
1455.7142857142858,11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
1734.6666666666667,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
1588.7,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
2830.0,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
2311.6153846153848,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
1455.7142857142858,12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
2799.5753424657532,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
2526.0545454545454,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
2696.225352112676,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
2824.8333333333335,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
2657.266666666667,13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
1734.6666666666667,14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
1588.7,14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
2830.0,14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
2311.6153846153848,14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
1455.7142857142858,14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
2544.5555555555557,15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
2217.3703703703704,15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
2621.194029850746,15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
2380.653846153846,15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
2682.741176470588,15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
2544.5555555555557,16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
2217.3703703703704,16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
2621.194029850746,16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
2380.653846153846,16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
2682.741176470588,16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
2856.1111111111113,17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
1898.4,17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
1878.4,17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
2142.785714285714,17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
1727.9761904761904,17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
1734.6666666666667,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
1588.7,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
2830.0,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
2311.6153846153848,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
1455.7142857142858,18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
1734.6666666666667,19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
1588.7,19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
2830.0,19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
2311.6153846153848,19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
1455.7142857142858,19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
